COMPOUND,QC(I)1,QC(I)2,QC(I)3,QC(I)4,QC(I)5,QC(I)6,QC(I)7,QC(I)8,QC(I)9,QC(I)10,QC(I)11,QC(I)12,QC(I)13,QC(I)14,QC(I)15,QC(I)16,QC(I)17,QC(I)18,QC(I)19,QC(I)20,QC(S)1_Batch4,QC(S)2_Batch4,QC(S)3_Batch4,QC(S)4_Batch4,QC(S)5_Batch4,QC(S)6_Batch5,QC(S)7_Batch5,QC(S)8_Batch5,QC(S)9_Batch5,QC(S)10_Batch5,QC(S)11_Batch6,QC(S)12_Batch6,QC(S)13_Batch6,QC(S)14_Batch6,QC(S)15_Batch6,QC(S)16_Batch7,QC(S)17_Batch7,QC(S)18_Batch7,QC(S)19_Batch7,QC(S)20_Batch7
Spermidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4-Guanidinobutanoate,15991713,15983773,15945326,14953148,14390562,14140791,13855799,13607390,12992565,12548927,12997400,12120469,12084243,11617754,11400097,11095384,10736972,10735169,10445488,10434247,12015367,11954620,11580215,11255247,11218611,11199657,10321574,10420858,10137890,9825585,9938694,9006475,9731005,9115886,8856719,8979199,8909645,8758436,8670285,8558317
Acetylcholine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glutamine,72012830,70979692,69069540,69059438,65007582,64524225,62321836,60055152,58167131,56600755,55503666,52904341,46145886,51779140,50051513,48415090,46939265,48094091,45888468,45638847,134364348,131859933,130415024,127752135,121048647,127047889,123171156,116658360,117362881,111952170,112978959,103506505,107284100,106098278,100437673,101668024,98892472,100886692,98538194,98517811
Lysine,39855255,39155793,36749029,38620030,39710557,37229514,36889300,35364242,33592083,31489954,33810532,32049678,31986715,32748422,32705679,32299820,31777801,29899587,30555836,30753248,24930637,22793690,23617264,23203373,22786593,21878385,22044905,20594761,20272171,22132943,22394028,20536517,21618183,21063667,20670041,20903658,20147893,20250043,19109701,19274186
Deoxycarnitine,562492,493322,515660,493952,483076,454199,459898,459938,411806,438637,398347,388674,389311,401842,375853,402962,354917,363932,365847,373037,402403,403718,369733,357987,357062,346023,308814,335885,317245,304656,311806,307355,345814,315357,301145,312821,264384,280266,268744,285563
Glutamic acid,30243599,30160778,30192874,29926058,28395102,28561957,27319375,26710700,26650926,26218075,26029500,24180824,24535101,24555448,23982819,23721981,23211832,21456410,23699283,23711522,4466486,4307344,4273415,4291021,4152417,4152258,4054931,3944404,3977641,3826023,3740166,3460894,3418645,3622490,3560653,3581727,3666713,3632083,3409765,3407938
Methionine,1016889,1038929,986597,914669,893799,936604,894164,847957,853446,787292,807986,783644,758164,747117,712408,664968,716192,710176,719459,686770,2832958,2832451,2716189,2620760,2562629,2632383,2523603,2510548,2382471,2227528,2290532,2265143,2125800,2153950,2151276,2061220,2054422,2066567,1954861,1910170
Guanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128417,119172,120753,101767,113501,98417,106524,88711,90854,89731,87344,94676,87109,96553,88500,87744,88038,88840,86956,87577
Cystamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histidine,153622901,148557894,141607663,128773405,118565141,118110364,108330104,103100731,94105702,89928922,86431542,77064389,78866337,76334199,61550297,69391767,66915415,48359967,60412371,60501655,151173300,141005786,133694733,125487703,115143280,113425564,104068291,100597658,93846879,85626100,86876206,63974541,71909864,74149131,69791877,72114119,70525449,73001996,56620832,65130536
Serotonin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tryptamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carnitine,71798652,68093675,66076962,63313542,58334226,58046016,54517887,51484871,52105364,49088663,48022687,46492297,45840251,44927778,43186564,40669519,37015803,39467034,38194272,37216763,54036833,52895660,50107054,48124566,46019492,44441173,42543502,40576372,40426425,38600793,37447573,36511375,36906094,34724475,32975689,31859718,31577402,31800381,31044437,29989253
Phenylalanine,56297786,54786955,54719455,52392221,52953275,50916888,50702177,47588076,47048031,46158485,45328956,43152645,41682394,41012418,40227493,40188503,39480852,37908956,36936054,37142104,43596277,42166035,41611182,42355442,41262522,40069837,38770422,38068887,37129138,35733920,35768745,33530342,33144225,32532150,32889484,31914472,30970401,31520622,30248491,30154962
Methionine Sulfoxide,858621,822425,786498,758233,689165,732862,731152,697450,713568,652096,611826,627845,560124,561107,587959,549925,538955,563969,569215,537790,577988,585426,547695,570364,568531,540371,503620,519423,522618,448395,497920,448652,487842,475789,463347,435169,446805,471651,440627,430803
7-Methylguanine,365571,364276,348674,347169,353873,326142,322953,332645,313039,302875,302306,302297,299728,293289,298497,295626,292515,290360,279881,275280,992362,982702,992745,980825,951426,929858,915341,918400,854443,864696,857702,844524,839833,830892,831115,804494,796027,818405,770578,773340
Normetanephrine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurocyamine,68483,69036,52864,58300,65246,54565,62483,58399,56395,57897,58536,63724,58488,49479,46151,48785,48641,50744,62631,55469,50815,50965,47078,50362,51396,52839,48302,65364,57352,58839,57905,50807,58089,52150,51913,52970,45185,51818,45920,54202
Pyridoxamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/3-Methylhistidine,14101863,13783779,12732047,11140936,9737821,9551093,9097897,8646558,7457315,7166407,6828115,6341404,6388790,5951350,4205084,5195279,5230368,3789036,4581968,4430905,11559915,11016470,9771743,8915075,7819138,7763641,6983632,6727671,6101507,5696829,5440137,4098359,4495866,3803161,4365856,4292342,4696548,4482965,3670672,3846456
